/sys/kernel/tracing/events/sched_wakeup*/filter
/sys/kernel/tracing/events/*/sched_wakeup*/filter
/sys/kernel/tracing/events/sched_switch/filter
/sys/kernel/tracing/events/*/sched_switch/filter
/sys/kernel/tracing/events/sched_migrate*/filter
/sys/kernel/tracing/events/*/sched_migrate*/filter
2018-10-07 14:59:50.003278: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2018-10-07 14:59:50.003350: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
mkdir: cannot create directory ‘datafiles/WriteCR/+3WriteCR’: No such file or directory
assigned to cpu 3
assigned to cpu 4
assigned to cpu 5
---------- processing video for epoch 6 ----------
performing inference...
pred: -0.87 deg. took: 39.40 ms | cam=2.99 prep=6.20 pred=30.22
pred: -1.03 deg. took: 10.99 ms | cam=0.83 prep=1.49 pred=8.68
pred: -1.06 deg. took: 10.43 ms | cam=0.85 prep=1.47 pred=8.11
pred: -1.13 deg. took: 10.38 ms | cam=0.86 prep=1.49 pred=8.03
pred: -1.12 deg. took: 10.76 ms | cam=0.82 prep=1.50 pred=8.44
pred: -1.19 deg. took: 10.72 ms | cam=0.83 prep=1.49 pred=8.41
pred: -1.24 deg. took: 10.63 ms | cam=0.82 prep=1.43 pred=8.38
pred: -1.10 deg. took: 10.95 ms | cam=0.85 prep=1.49 pred=8.61
pred: -1.08 deg. took: 10.50 ms | cam=0.85 prep=1.47 pred=8.18
pred: -1.05 deg. took: 10.94 ms | cam=0.91 prep=1.50 pred=8.53
pred: -1.05 deg. took: 11.31 ms | cam=0.85 prep=1.54 pred=8.93
pred: -1.01 deg. took: 10.99 ms | cam=0.82 prep=1.48 pred=8.69
pred: -1.24 deg. took: 10.39 ms | cam=0.85 prep=1.49 pred=8.05
pred: -1.52 deg. took: 11.28 ms | cam=0.85 prep=1.47 pred=8.96
pred: -0.98 deg. took: 10.43 ms | cam=0.81 prep=1.48 pred=8.13
pred: -1.50 deg. took: 11.88 ms | cam=0.84 prep=1.46 pred=9.57
pred: -1.51 deg. took: 10.23 ms | cam=0.86 prep=1.50 pred=7.87
pred: -0.83 deg. took: 10.31 ms | cam=0.86 prep=1.47 pred=7.97
pred: -2.56 deg. took: 10.23 ms | cam=0.81 prep=1.49 pred=7.93
pred: -2.46 deg. took: 10.21 ms | cam=0.85 prep=1.47 pred=7.89
pred: -1.26 deg. took: 10.41 ms | cam=0.84 prep=1.46 pred=8.11
pred: -1.69 deg. took: 10.99 ms | cam=0.89 prep=1.46 pred=8.65
pred: -1.47 deg. took: 10.97 ms | cam=0.86 prep=1.49 pred=8.62
pred: -3.21 deg. took: 10.35 ms | cam=0.77 prep=1.40 pred=8.19
pred: -4.50 deg. took: 10.50 ms | cam=0.81 prep=1.49 pred=8.20
pred: -2.41 deg. took: 10.38 ms | cam=0.85 prep=1.47 pred=8.05
pred: -6.08 deg. took: 10.51 ms | cam=0.83 prep=1.50 pred=8.18
pred: -8.31 deg. took: 10.29 ms | cam=0.90 prep=1.46 pred=7.93
pred: -8.90 deg. took: 10.26 ms | cam=0.84 prep=1.46 pred=7.96
pred: -11.92 deg. took: 10.56 ms | cam=0.82 prep=1.47 pred=8.28
pred: -12.18 deg. took: 10.43 ms | cam=0.84 prep=1.47 pred=8.13
pred: -11.46 deg. took: 10.38 ms | cam=0.82 prep=1.47 pred=8.09
pred: -5.54 deg. took: 10.37 ms | cam=0.90 prep=1.44 pred=8.03
pred: -4.06 deg. took: 10.63 ms | cam=0.83 prep=1.47 pred=8.33
pred: -0.73 deg. took: 10.41 ms | cam=0.82 prep=1.46 pred=8.13
pred: -3.63 deg. took: 11.12 ms | cam=0.85 prep=1.47 pred=8.80
pred: 0.77 deg. took: 12.30 ms | cam=0.82 prep=1.47 pred=10.01
pred: -0.81 deg. took: 10.54 ms | cam=0.90 prep=1.41 pred=8.24
pred: 3.28 deg. took: 10.24 ms | cam=0.84 prep=1.46 pred=7.94
pred: 2.00 deg. took: 10.94 ms | cam=0.81 prep=1.45 pred=8.68
pred: 1.21 deg. took: 10.27 ms | cam=0.84 prep=1.44 pred=7.99
pred: 2.66 deg. took: 10.36 ms | cam=0.83 prep=1.51 pred=8.02
pred: 3.05 deg. took: 10.73 ms | cam=0.85 prep=1.44 pred=8.44
pred: 2.62 deg. took: 10.31 ms | cam=0.87 prep=1.48 pred=7.97
pred: 2.49 deg. took: 10.60 ms | cam=0.82 prep=1.48 pred=8.30
pred: 2.80 deg. took: 10.54 ms | cam=0.86 prep=1.43 pred=8.25
pred: 3.29 deg. took: 10.22 ms | cam=0.83 prep=1.46 pred=7.93
pred: 4.09 deg. took: 10.64 ms | cam=0.85 prep=1.46 pred=8.32
pred: 9.42 deg. took: 10.59 ms | cam=0.86 prep=1.47 pred=8.26
pred: 9.49 deg. took: 10.65 ms | cam=0.84 prep=1.47 pred=8.34
pred: 11.21 deg. took: 10.28 ms | cam=0.84 prep=1.49 pred=7.95
pred: 16.52 deg. took: 10.09 ms | cam=0.82 prep=1.47 pred=7.80
pred: 23.17 deg. took: 10.31 ms | cam=0.86 prep=1.52 pred=7.94
pred: 23.04 deg. took: 11.12 ms | cam=0.84 prep=1.38 pred=8.90
pred: 25.05 deg. took: 10.22 ms | cam=0.81 prep=1.42 pred=7.99
pred: 23.88 deg. took: 10.61 ms | cam=0.84 prep=1.46 pred=8.32
pred: 26.97 deg. took: 10.11 ms | cam=0.79 prep=1.41 pred=7.92
pred: 26.36 deg. took: 10.71 ms | cam=0.94 prep=1.46 pred=8.32
pred: 27.58 deg. took: 10.22 ms | cam=0.82 prep=1.47 pred=7.93
pred: 27.21 deg. took: 10.33 ms | cam=0.83 prep=1.49 pred=8.01
pred: 28.05 deg. took: 10.76 ms | cam=0.85 prep=1.47 pred=8.44
pred: 28.29 deg. took: 10.16 ms | cam=0.81 prep=1.44 pred=7.92
pred: 28.51 deg. took: 10.31 ms | cam=0.87 prep=1.44 pred=7.99
pred: 28.73 deg. took: 10.22 ms | cam=0.86 prep=1.46 pred=7.91
pred: 29.63 deg. took: 10.21 ms | cam=0.78 prep=1.41 pred=8.01
pred: 29.48 deg. took: 10.58 ms | cam=0.84 prep=1.48 pred=8.26
pred: 30.28 deg. took: 10.67 ms | cam=0.83 prep=1.46 pred=8.38
pred: 29.63 deg. took: 10.35 ms | cam=0.85 prep=1.47 pred=8.03
pred: 28.42 deg. took: 10.40 ms | cam=0.82 prep=1.52 pred=8.06
pred: 26.27 deg. took: 10.34 ms | cam=0.88 prep=1.46 pred=8.00
pred: 24.27 deg. took: 10.53 ms | cam=0.87 prep=1.47 pred=8.19
pred: 23.11 deg. took: 11.16 ms | cam=0.83 prep=1.47 pred=8.86
pred: 24.07 deg. took: 10.38 ms | cam=0.84 prep=1.49 pred=8.04
pred: 24.05 deg. took: 10.48 ms | cam=0.84 prep=1.48 pred=8.15
pred: 24.50 deg. took: 10.50 ms | cam=0.87 prep=1.51 pred=8.12
pred: 24.48 deg. took: 10.22 ms | cam=0.84 prep=1.41 pred=7.96
pred: 21.20 deg. took: 10.28 ms | cam=0.82 prep=1.51 pred=7.95
pred: 19.35 deg. took: 10.61 ms | cam=0.85 prep=1.49 pred=8.27
pred: 15.79 deg. took: 10.11 ms | cam=0.81 prep=1.46 pred=7.84
pred: 18.79 deg. took: 10.26 ms | cam=0.87 prep=1.49 pred=7.90
pred: 15.89 deg. took: 10.30 ms | cam=0.85 prep=1.48 pred=7.97
pred: 18.92 deg. took: 10.76 ms | cam=0.84 prep=1.50 pred=8.42
pred: 18.74 deg. took: 10.17 ms | cam=0.85 prep=1.50 pred=7.83
pred: 16.28 deg. took: 10.37 ms | cam=0.85 prep=1.39 pred=8.12
pred: 9.03 deg. took: 10.42 ms | cam=0.82 prep=1.46 pred=8.14
pred: 7.82 deg. took: 11.35 ms | cam=0.84 prep=1.49 pred=9.02
pred: 10.16 deg. took: 10.31 ms | cam=0.82 prep=1.44 pred=8.05
pred: 12.69 deg. took: 10.26 ms | cam=0.85 prep=1.49 pred=7.92
pred: 9.01 deg. took: 11.38 ms | cam=0.86 prep=1.48 pred=9.03
pred: 16.77 deg. took: 10.23 ms | cam=0.81 prep=1.45 pred=7.96
pred: 5.30 deg. took: 11.60 ms | cam=0.83 prep=1.45 pred=9.32
pred: 5.95 deg. took: 10.44 ms | cam=0.82 prep=1.48 pred=8.14
pred: 6.03 deg. took: 10.53 ms | cam=0.85 prep=1.51 pred=8.17
pred: 6.45 deg. took: 10.79 ms | cam=0.90 prep=1.46 pred=8.42
pred: 1.91 deg. took: 21.24 ms | cam=0.82 prep=1.46 pred=18.95
pred: -0.28 deg. took: 10.25 ms | cam=0.87 prep=1.46 pred=7.92
pred: -7.84 deg. took: 10.73 ms | cam=0.82 prep=1.48 pred=8.43
pred: -10.67 deg. took: 10.34 ms | cam=0.86 prep=1.45 pred=8.03
pred: -10.06 deg. took: 10.48 ms | cam=0.89 prep=1.47 pred=8.12
pred: -10.04 deg. took: 10.51 ms | cam=0.82 prep=1.49 pred=8.21
pred: -10.00 deg. took: 10.48 ms | cam=0.85 prep=1.45 pred=8.19
pred: -11.84 deg. took: 10.45 ms | cam=0.81 prep=1.49 pred=8.15
pred: -6.17 deg. took: 10.25 ms | cam=0.85 prep=1.44 pred=7.96
pred: -1.42 deg. took: 11.45 ms | cam=0.88 prep=1.44 pred=9.13
pred: -1.67 deg. took: 10.36 ms | cam=0.87 prep=1.47 pred=8.02
pred: 1.69 deg. took: 10.73 ms | cam=0.87 prep=1.50 pred=8.36
pred: -0.93 deg. took: 10.26 ms | cam=0.81 prep=1.48 pred=7.96
pred: 4.11 deg. took: 10.40 ms | cam=0.86 prep=1.50 pred=8.04
pred: 9.74 deg. took: 10.63 ms | cam=0.88 prep=1.50 pred=8.24
pred: 10.75 deg. took: 10.50 ms | cam=0.83 prep=1.47 pred=8.19
pred: 6.56 deg. took: 10.57 ms | cam=0.84 prep=1.48 pred=8.25
pred: 2.16 deg. took: 10.53 ms | cam=0.81 prep=1.47 pred=8.24
pred: 13.93 deg. took: 10.20 ms | cam=0.86 prep=1.44 pred=7.90
pred: 18.37 deg. took: 10.56 ms | cam=0.87 prep=1.49 pred=8.19
pred: 18.19 deg. took: 10.24 ms | cam=0.81 prep=1.44 pred=7.99
pred: 17.28 deg. took: 10.38 ms | cam=0.85 prep=1.51 pred=8.02
